,sport_name,sport_icon
0,3x3 Basketball,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BK3_small.svg
1,Archery,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/ARC_small.svg
2,Gymnastics,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GAR_small.svg
3,Artistic Swimming,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SWA_small.svg
4,Athletics,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/ATH_small.svg
5,Badminton,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BDM_small.svg
6,Basketball,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BKB_small.svg
7,Beach Volleyball,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/VBV_small.svg
8,Boxing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BOX_small.svg
9,Breaking,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BKG_small.svg
10,Canoe Slalom,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CSL_small.svg
11,Canoe Sprint,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CSP_small.svg
12,BMX Freestyle,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BMF_small.svg
13,Cycling BMX Racing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/BMX_small.svg
14,Mountain Biking,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/MTB_small.svg
15,Cycling Road,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CRD_small.svg
16,Cycling Track,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CTR_small.svg
17,Diving,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/DIV_small.svg
18,Equestrian,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/EQU_small.svg
19,Fencing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/FEN_small.svg
20,Football,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/FBL_small.svg
21,Golf,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GLF_small.svg
22,Handball,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/HBL_small.svg
23,Hockey,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/HOC_small.svg
24,Judo,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/JUD_small.svg
25,Marathon Swimming,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/OWS_small.svg
26,Modern Pentathlon,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/MPN_small.svg
27,Rhyth. Gymnastics,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GRY_small.svg
28,Rowing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/ROW_small.svg
29,Rugby Sevens,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/RU7_small.svg
30,Sailing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SAL_small.svg
31,Shooting,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SHO_small.svg
32,Skateboarding,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SKB_small.svg
33,Sport Climbing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CLB_small.svg
34,Surfing,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SRF_small.svg
35,Swimming,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SWM_small.svg
36,Table Tennis,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TTE_small.svg
37,Taekwondo,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TKW_small.svg
38,Tennis,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TEN_small.svg
39,Trampoline,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GTR_small.svg
40,Triathlon,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TRI_small.svg
41,Volleyball,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/VVO_small.svg
42,Water Polo,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WPO_small.svg
43,Weightlifting,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WLF_small.svg
44,Wrestling,https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WRE_small.svg
